no,planting_date,run_date,planting_days,harvest_date,predicted_planting_days,harvest,alert,max_harvest,min_harvest,solar_radiation,accu_solar_radiation,temperature_max,temperature_min,rainfalls,accu_rainfalls
1,2020/02/04,2020/02/04,0,2020/06/13,130,99.93,100,108.79,99.07,20.3,20.3,23.3,13.2,0.5,0.5
2,2020/02/04,2020/02/05,1,2020/06/13,130,99.23,100,100.24,90.06,18.3,38.6,25.5,11.7,0,0.5
3,2020/02/04,2020/02/06,2,2020/06/13,130,98.7,100,100.39,89.52,10,48.6,23.7,12.8,1.2,1.7
4,2020/02/04,2020/02/07,3,2020/06/13,130,98.7,100,100.2,88.87,9.3,57.9,23,13.6,1.8,3.5
5,2020/02/04,2020/02/08,4,2020/06/13,130,98.7,100,99.84,86.12,9.9,67.8,22.4,13.1,0.8,4.3
6,2020/02/04,2020/02/09,5,2020/06/13,130,98.7,100,100.19,84.95,11,78.8,23.3,12.7,0.1,4.4
7,2020/02/04,2020/02/10,6,2020/06/13,130,98.7,100,99.84,90.93,9.5,88.3,23.1,13.4,1.4,5.8
8,2020/02/04,2020/02/11,7,2020/06/13,130,98.7,100,99.84,90.07,9.9,98.2,23.4,13.2,0.9,6.7
9,2020/02/04,2020/02/12,8,2020/06/13,130,98.7,100,99.98,89.22,10.1,108.3,23.8,13.7,1.2,7.9
10,2020/02/04,2020/02/13,9,2020/06/13,130,98.7,100,99.84,88.38,10.6,118.9,24.7,14.2,1.5,9.4
11,2020/02/04,2020/02/14,10,2020/06/13,130,98.7,100,99.84,87.15,16.5,135.4,30.1,18.1,0,9.4
12,2020/02/04,2020/02/15,11,2020/06/13,130,98.71,100,99.13,85.86,4.1,139.5,23.3,12.2,0,9.4
13,2020/02/04,2020/02/16,12,2020/06/13,130,98.71,100,99.37,86.11,15.1,154.6,18.2,8.8,0.5,9.9
14,2020/02/04,2020/02/17,13,2020/06/13,130,98.7,100,100.51,86.27,17.8,172.4,21.5,7.7,0,9.9
15,2020/02/04,2020/02/18,14,2020/06/13,130,98.58,100,109.08,90.38,20.8,193.2,22.6,9.1,0,9.9
16,2020/02/04,2020/02/19,15,2020/06/13,130,98.41,100,109.42,89.87,18.9,212.1,23.8,11.6,0,9.9
17,2020/02/04,2020/02/20,16,2020/06/13,130,98.16,100,109.35,89.95,18.7,230.8,23.4,14.1,0,9.9
18,2020/02/04,2020/02/21,17,2020/06/13,130,97.96,100,111.11,89.3,19.5,250.3,25.3,13.8,0,9.9
19,2020/02/04,2020/02/22,18,2020/06/13,130,97.8,100,109.51,89.62,21.4,271.7,26.9,14.8,0,9.9
20,2020/02/04,2020/02/23,19,2020/06/13,130,97.81,100,100.09,84.86,21.1,292.8,26.4,14.9,0,9.9
21,2020/02/04,2020/02/24,20,2020/06/13,130,97.18,100,99.62,83.94,22.9,315.7,28.9,15.8,0,9.9
22,2020/02/04,2020/02/25,21,2020/06/13,130,96.54,100,99.31,80.94,23.3,339,28.8,16.8,0,9.9
23,2020/02/04,2020/02/26,22,2020/06/12,129,95.82,100,100.62,76.82,21.2,360.2,27.2,17.7,0,9.9
24,2020/02/04,2020/02/27,23,2020/06/12,129,95.22,100,100.05,77.66,19.6,379.8,26.5,17.4,0,9.9
25,2020/02/04,2020/02/28,24,2020/06/12,129,94.7,100,98.72,76.52,16.2,396,29.2,17.7,0,9.9
26,2020/02/04,2020/02/29,25,2020/06/11,128,94.25,100,100.41,74.58,21.7,417.7,28.4,18.4,0,9.9
27,2020/02/04,2020/03/01,26,2020/06/11,128,93.71,100,102.73,75.25,21.4,439.1,26.1,17.8,0,9.9
28,2020/02/04,2020/03/02,27,2020/06/11,128,92.63,100,105.81,75.3,22.8,461.9,27.8,15.4,0,9.9
29,2020/02/04,2020/03/03,28,2020/06/10,127,91.73,100,103.57,76.04,21.1,483,25,16.3,0,9.9
30,2020/02/04,2020/03/04,29,2020/06/10,127,91.2,100,103.15,73.75,11.2,494.2,20.8,14.7,5,14.9
31,2020/02/04,2020/03/05,30,2020/06/10,127,91.08,100,104.03,74.77,16.6,510.8,25.6,15.3,0,14.9
32,2020/02/04,2020/03/06,31,2020/06/10,127,90.78,100,108.43,73.32,22,532.8,28.6,17.6,0,14.9
33,2020/02/04,2020/03/07,32,2020/06/10,127,89.94,100,108.54,71.17,18.6,551.4,27.6,18.2,0,14.9
34,2020/02/04,2020/03/08,33,2020/06/10,127,89.78,100,103.38,67.04,22.8,574.2,32,19.3,0,14.9
35,2020/02/04,2020/03/09,34,2020/06/10,127,88.93,100,104.24,67.91,8.6,582.8,24.5,17,26,40.9
36,2020/02/04,2020/03/10,35,2020/06/10,127,88.9,100,104.65,64.27,14.1,596.9,24.5,16.1,0,40.9
37,2020/02/04,2020/03/11,36,2020/06/10,127,88.88,100,104.37,61.75,0,596.9,25.2,18.2,0,40.9
38,2020/02/04,2020/03/12,37,2020/06/09,126,88.98,100,99.48,47.31,14.1,611,28.4,19,0,40.9
39,2020/02/04,2020/03/13,38,2020/06/09,126,88.91,100,99.85,37.09,4.2,615.2,21.3,15.3,4,44.9
40,2020/02/04,2020/03/14,39,2020/06/09,126,88.95,100,100.06,38.89,20.7,635.9,24.2,12.4,0.5,45.4
