no,planting_date,run_date,planting_days,harvest_date,predicted_planting_days,harvest,alert,max_harvest,min_harvest,solar_radiation,accu_solar_radiation,temperature_max,temperature_min,rainfalls,accu_rainfalls
1,2020/02/04,2020/02/04,0,2020/06/21,138,99.94,100,100.53,94.2,20.3,20.3,23.3,13.2,0.5,0.5
2,2020/02/04,2020/02/05,1,2020/06/21,138,99.36,100,100.65,93.23,18.3,38.6,25.5,11.7,0,0.5
3,2020/02/04,2020/02/06,2,2020/06/21,138,98.87,100,110.09,96.95,10,48.6,23.7,12.8,1.2,1.7
4,2020/02/04,2020/02/07,3,2020/06/21,138,98.87,100,110.09,95.66,9.3,57.9,23,13.6,1.8,3.5
5,2020/02/04,2020/02/08,4,2020/06/21,138,98.87,100,110.38,94.5,9.9,67.8,22.4,13.1,0.8,4.3
6,2020/02/04,2020/02/09,5,2020/06/21,138,98.87,100,110.67,94,11,78.8,23.3,12.7,0.1,4.4
7,2020/02/04,2020/02/10,6,2020/06/21,138,98.87,100,110.09,93.95,9.5,88.3,23.1,13.4,1.4,5.8
8,2020/02/04,2020/02/11,7,2020/06/21,138,98.87,100,110.57,93.32,9.9,98.2,23.4,13.2,0.9,6.7
9,2020/02/04,2020/02/12,8,2020/06/21,138,98.87,100,110.44,95.12,10.1,108.3,23.8,13.7,1.2,7.9
10,2020/02/04,2020/02/13,9,2020/06/21,138,98.87,100,110.49,92.59,10.6,118.9,24.7,14.2,1.5,9.4
11,2020/02/04,2020/02/14,10,2020/06/21,138,98.87,100,110.47,91.91,16.5,135.4,30.1,18.1,0,9.4
12,2020/02/04,2020/02/15,11,2020/06/20,137,98.87,100,110.07,98.32,4.1,139.5,23.3,12.2,0,9.4
13,2020/02/04,2020/02/16,12,2020/06/20,137,98.87,100,110.45,98.74,15.1,154.6,18.2,8.8,0.5,9.9
14,2020/02/04,2020/02/17,13,2020/06/21,138,98.92,100,105.71,94.58,17.8,172.4,21.5,7.7,0,9.9
15,2020/02/04,2020/02/18,14,2020/06/21,138,98.93,100,105.33,93.99,20.8,193.2,22.6,9.1,0,9.9
16,2020/02/04,2020/02/19,15,2020/06/21,138,98.81,100,105.09,93.59,18.9,212.1,23.8,11.6,0,9.9
17,2020/02/04,2020/02/20,16,2020/06/21,138,98.62,100,105.26,92.77,18.7,230.8,23.4,14.1,0,9.9
18,2020/02/04,2020/02/21,17,2020/06/21,138,98.47,100,104.74,91.1,19.5,250.3,25.3,13.8,0,9.9
19,2020/02/04,2020/02/22,18,2020/06/21,138,98.34,100,104.62,91.37,21.4,271.7,26.9,14.8,0,9.9
20,2020/02/04,2020/02/23,19,2020/06/21,138,98.2,100,105.53,90.2,21.1,292.8,26.4,14.9,0,9.9
21,2020/02/04,2020/02/24,20,2020/06/21,138,97.57,100,109.12,89.93,22.9,315.7,28.9,15.8,0,9.9
22,2020/02/04,2020/02/25,21,2020/06/20,137,96.99,100,107.26,87.48,23.3,339,28.8,16.8,0,9.9
23,2020/02/04,2020/02/26,22,2020/06/20,137,96.39,100,107.67,74.45,21.2,360.2,27.2,17.7,0,9.9
24,2020/02/04,2020/02/27,23,2020/06/19,136,95.84,100,108.44,73.47,19.6,379.8,26.5,17.4,0,9.9
25,2020/02/04,2020/02/28,24,2020/06/19,136,95.36,100,108.49,68.72,16.2,396,29.2,17.7,0,9.9
26,2020/02/04,2020/02/29,25,2020/06/19,136,94.99,100,108.32,56.48,21.7,417.7,28.4,18.4,0,9.9
27,2020/02/04,2020/03/01,26,2020/06/19,136,95.05,100,99.65,50.46,21.4,439.1,26.1,17.8,0,9.9
28,2020/02/04,2020/03/02,27,2020/06/19,136,94.34,100,99.5,53.89,22.8,461.9,27.8,15.4,0,9.9
29,2020/02/04,2020/03/03,28,2020/06/19,136,93.75,100,99.56,54.22,21.1,483,25,16.3,0,9.9
30,2020/02/04,2020/03/04,29,2020/06/19,136,93.3,100,99.38,53.79,11.2,494.2,20.8,14.7,5,14.9
31,2020/02/04,2020/03/05,30,2020/06/19,136,93.26,100,96.8,53.37,16.6,510.8,25.6,15.3,0,14.9
32,2020/02/04,2020/03/06,31,2020/06/19,136,93,100,97.74,52.61,22,532.8,28.6,17.6,0,14.9
33,2020/02/04,2020/03/07,32,2020/06/18,135,92.5,100,98.7,50.23,18.6,551.4,27.6,18.2,0,14.9
34,2020/02/04,2020/03/08,33,2020/06/18,135,92.02,100,99.37,46.42,22.8,574.2,32,19.3,0,14.9
35,2020/02/04,2020/03/09,34,2020/06/17,134,91.06,100,104.6,47.93,8.6,582.8,24.5,17,26,40.9
36,2020/02/04,2020/03/10,35,2020/06/17,134,91.04,100,104.51,44.89,14.1,596.9,24.5,16.1,0,40.9
37,2020/02/04,2020/03/11,36,2020/06/17,134,91.03,100,104.66,43.22,0,596.9,25.2,18.2,0,40.9
38,2020/02/04,2020/03/12,37,2020/06/17,134,91.01,100,105.12,41.12,14.1,611,28.4,19,0,40.9
39,2020/02/04,2020/03/13,38,2020/06/16,133,90.62,100,109.04,41.78,4.2,615.2,21.3,15.3,4,44.9
40,2020/02/04,2020/03/14,39,2020/06/17,134,90.99,100,103.03,39.9,20.7,635.9,24.2,12.4,0.5,45.4
41,2020/02/04,2020/03/15,40,2020/06/17,134,91.02,100,103.96,27.95,23.8,659.7,26.1,14.3,0,45.4
42,2020/02/04,2020/03/16,41,2020/06/17,134,91.02,100,104.11,37.52,22.4,682.1,27.1,16.9,0,45.4
43,2020/02/04,2020/03/17,42,2020/06/17,134,91.01,100,104.26,37.64,10.8,692.9,24.8,18,0,45.4
44,2020/02/04,2020/03/18,43,2020/06/17,134,91.02,100,104.05,36.28,11.7,704.6,26.5,19.3,1,46.4
45,2020/02/04,2020/03/19,44,2020/06/17,134,91,100,100.26,35.59,15.1,719.7,26.9,19.7,0,46.4
46,2020/02/04,2020/03/20,45,2020/06/17,134,90.98,100,100.17,36.86,18.2,737.9,28.3,19.1,0,46.4
47,2020/02/04,2020/03/21,46,2020/06/16,133,90.37,100,103.96,37.29,19.4,757.3,29.8,21.3,0,46.4
48,2020/02/04,2020/03/22,47,2020/06/16,133,89.83,100,104.09,36,22.2,779.5,29.5,20.4,0,46.4
49,2020/02/04,2020/03/23,48,2020/06/16,133,89.3,100,101.67,31.92,17.5,797,27.5,19.9,0,46.4
50,2020/02/04,2020/03/24,49,2020/06/16,133,88.86,100,104.81,32.08,23.9,820.9,29.1,20.3,0,46.4
51,2020/02/04,2020/03/25,50,2020/06/16,133,89.5,100,95.55,28.86,23.8,844.7,31.9,20.5,0,46.4
52,2020/02/04,2020/03/26,51,2020/06/16,133,89.43,100,94.62,32.75,23.6,868.3,31.5,21.9,0,46.4
53,2020/02/04,2020/03/27,52,2020/06/15,132,88.02,100,105.12,36.55,12.8,881.1,27.1,17.1,1.3,47.7
54,2020/02/04,2020/03/28,53,2020/06/15,132,88.02,100,109.19,36.63,12.5,893.6,26.9,17.2,2.4,50.1
55,2020/02/04,2020/03/29,54,2020/06/15,132,88.02,100,109.18,36.66,11.7,905.3,26.5,19.6,0,50.1
56,2020/02/04,2020/03/30,55,2020/06/15,132,87.95,100,109.07,36.68,18.1,923.4,29.6,19.4,0,50.1
57,2020/02/04,2020/03/31,56,2020/06/15,132,88.39,100,104.38,35.03,20.6,944,26.2,18.2,0,50.1
58,2020/02/04,2020/04/01,57,2020/06/15,132,88.21,100,104.28,35.18,9.1,953.1,23.8,17.1,6.5,56.6
59,2020/02/04,2020/04/02,58,2020/06/15,132,88.27,100,99.86,35.23,16.2,969.3,26.9,18.8,0,56.6
60,2020/02/04,2020/04/03,59,2020/06/15,132,88.28,100,99.74,35.27,17.7,987,24.7,17.7,0,56.6
61,2020/02/04,2020/04/04,60,2020/06/15,132,88.22,100,99.83,35.38,7,994,21.9,16,2.5,59.1
62,2020/02/04,2020/04/05,61,2020/06/16,133,88.95,100,98.44,33.08,6.8,1000.8,21,15.8,10.5,69.6
63,2020/02/04,2020/04/06,62,2020/06/15,132,87.65,100,109.73,36.64,23.6,1024.4,24.5,16,6.5,76.1
64,2020/02/04,2020/04/07,63,2020/06/16,133,88.88,100,95.93,32.86,18.3,1042.7,25.8,15.3,0,76.1
65,2020/02/04,2020/04/08,64,2020/06/16,133,88.38,100,104.67,30.13,22.1,1064.8,28,18.3,0,76.1
66,2020/02/04,2020/04/09,65,2020/06/16,133,88.38,100,103.04,29.77,24.9,1089.7,28.8,17.6,0,76.1
67,2020/02/04,2020/04/10,66,2020/06/16,133,88.37,100,103.11,35.77,9,1098.7,26.6,19.2,2.5,78.6
68,2020/02/04,2020/04/11,67,2020/06/16,133,88.36,100,103.19,35.21,24,1122.7,22.1,12.4,3,81.6
69,2020/02/04,2020/04/12,68,2020/06/16,133,87.78,100,108.33,32.26,30.4,1153.1,23.2,8.8,0,81.6
70,2020/02/04,2020/04/13,69,2020/06/17,134,88.91,100,98.05,24.84,0,1153.1,21.5,18.5,0,81.6
71,2020/02/04,2020/04/14,70,2020/06/17,134,88.41,100,103.65,25.89,0,1153.1,27,17.1,0,81.6
72,2020/02/04,2020/04/15,71,2020/06/17,134,88.36,100,102.56,30.27,28.3,1181.4,28.3,14.1,0,81.6
73,2020/02/04,2020/04/16,72,2020/06/17,134,87.62,100,107.41,31.9,28.1,1209.5,28.6,16,0,81.6
74,2020/02/04,2020/04/17,73,2020/06/17,134,87.5,100,107.59,32.15,0,1209.5,30.8,19.9,0,81.6
75,2020/02/04,2020/04/18,74,2020/06/17,134,87.51,100,107.55,36.58,15.9,1225.4,32.4,22.3,0,81.6
76,2020/02/04,2020/04/19,75,2020/06/17,134,87.41,100,107.39,36.58,23.8,1249.2,30.8,23.3,0,81.6
77,2020/02/04,2020/04/20,76,2020/06/17,134,87.75,100,101.04,30.46,0,1249.2,29.2,21.7,0,81.6
78,2020/02/04,2020/04/21,77,2020/06/17,134,87.82,100,102.26,25.98,15.6,1264.8,27.9,20,0,81.6
79,2020/02/04,2020/04/22,78,2020/06/17,134,87.14,100,105.88,27.18,0,1264.8,24.1,17.2,7.5,89.1
80,2020/02/04,2020/04/23,79,2020/06/17,134,87.2,100,109.86,31.8,0,1264.8,20,16.8,7,96.1
81,2020/02/04,2020/04/24,80,2020/06/18,135,88.43,100,99.12,28.78,0,1264.8,25.9,17.7,0,96.1
82,2020/02/04,2020/04/25,81,2020/06/16,133,85.44,100,124.66,36.11,0,1264.8,26.8,19.9,0.5,96.6
83,2020/02/04,2020/04/26,82,2020/06/16,133,84.65,100,131.24,32.5,9.6,1274.4,27.3,19.8,0,96.6
84,2020/02/04,2020/04/27,83,2020/06/16,133,84.63,100,130.61,32.52,24.7,1299.1,30.1,19.7,0,96.6
85,2020/02/04,2020/04/28,84,2020/06/16,133,84.63,100,130.74,32.5,29,1328.1,29.6,19.9,0,96.6
86,2020/02/04,2020/04/29,85,2020/06/17,134,86.36,100,115.27,28.73,28.3,1356.4,30.9,19.2,0,96.6
87,2020/02/04,2020/04/30,86,2020/06/18,135,87.18,100,107.11,37.62,0,1356.4,31.4,20.7,0,96.6
88,2020/02/04,2020/05/01,87,2020/06/17,134,85.58,100,120.56,42,0,1356.4,31.6,22.8,0,96.6
89,2020/02/04,2020/05/02,88,2020/06/16,133,84.42,100,130.27,44.88,27.1,1383.5,32,23.3,0,96.6
90,2020/02/04,2020/05/03,89,2020/06/16,133,84.27,100,127.86,44.74,28.3,1411.8,33.6,24.3,0,96.6
91,2020/02/04,2020/05/04,90,2020/06/16,133,84.94,100,120.68,42.43,24.6,1436.4,34.2,24.6,0,96.6
92,2020/02/04,2020/05/05,91,2020/06/16,133,84.81,100,123.37,42.44,0,1436.4,33.5,25.4,0,96.6
93,2020/02/04,2020/05/06,92,2020/06/16,133,84.83,100,123.18,42.75,0,1436.4,33.1,25.4,0,96.6
94,2020/02/04,2020/05/07,93,2020/06/15,132,81.72,100,129.3,49.13,0,1436.4,34.2,23.9,0,96.6
95,2020/02/04,2020/05/08,94,2020/06/15,132,82.09,100,134.4,49.2,0,1436.4,33.9,25.6,0,96.6
96,2020/02/04,2020/05/09,95,2020/06/15,132,78.91,100,133.3,49.36,27.4,1463.8,35.1,25.9,1.5,98.1
97,2020/02/04,2020/05/10,96,2020/06/15,132,74.06,100,131.96,49.35,0,1463.8,32.8,24.9,0,98.1
98,2020/02/04,2020/05/11,97,2020/06/15,132,76.9,100,131.17,42.13,12.6,1476.4,29.5,23.6,0,98.1
99,2020/02/04,2020/05/12,98,2020/06/15,132,74,100,130.94,38.66,26.1,1502.5,32.9,22.7,0,98.1
